case,name,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c
list_ops,Kozmika (fast-init),0.032520958,0.032520958,0.032520958,1,533503.98379981122,533503.98379981122,17.804975938
list_ops,C (clang -O3),0.579034875,0.579034875,0.579034875,1,533503.98379927058704197,533503.98379927059,1.000000000
list_ops,Python (naive),0.267216708,0.267216708,0.267216708,1,533503.98379927058704197,533503.98379927059,2.166911191
list_ops,Python+NumPy,0.217847125,0.217847125,0.217847125,1,533503.98379970551468432,533503.98379970551,2.657987224
list_ops,Java (loops),0.087281417,0.087281417,0.087281417,1,533503.98379927060000000,533503.98379927059,6.634114053
matrix_ops,Kozmika (fast-init),0.028880042,0.028880042,0.028880042,1,513281.17717951647,513281.17717951647,12.137626637
matrix_ops,C (clang -O3),0.350535167,0.350535167,0.350535167,1,513281.17717951466329396,513281.17717951466,1.000000000
matrix_ops,Python (naive),0.132841417,0.132841417,0.132841417,1,513281.17717951466329396,513281.17717951466,2.638749081
matrix_ops,Python+NumPy,0.144374166,0.144374166,0.144374166,1,513281.17717951571103185,513281.17717951571,2.427963234
matrix_ops,Java (loops),0.098847584,0.098847584,0.098847584,1,513281.17717951466000000,513281.17717951466,3.546218864
