case,name,median_sec,min_sec,max_sec,runs,checksum
list_ops,Spark interpret,0.487956458,0.475562833,0.507508000,5,533503.98379981122
list_ops,C (clang -O3),0.010637416,0.008372750,0.011184375,5,533503.98379927059
list_ops,Python (naive),0.274846667,0.264022583,0.287762500,5,533503.98379927059
list_ops,Python+NumPy,0.127455208,0.119851250,0.128388083,5,533503.98379970551
list_ops,Java (loops),0.087087375,0.080003458,0.088397875,5,533503.98379927059
matrix_ops,Spark interpret,0.243589167,0.239724375,0.255702542,5,513281.17717951653
matrix_ops,C (clang -O3),0.006319958,0.005737541,0.006389750,5,513281.17717951466
matrix_ops,Python (naive),0.132786292,0.123105292,0.139099166,5,513281.17717951466
matrix_ops,Python+NumPy,0.124285375,0.108889333,0.129818833,5,513281.17717951571
matrix_ops,Java (loops),0.089655959,0.084760917,0.094991916,5,513281.17717951466
