requested_backend,effective_backend,status_ok,parse_ok,program_ok,total_consistent,portable_route_ok,object_total,matmul_diff,matmul_ok,backend_id,median_time_sec,mean_time_sec
auto,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4901650420069927,1.4901650420069927
own,own,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,0.0,1.496943624515552,1.496943624515552
blas,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.49329681249219,1.49329681249219
cuda,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.504353270996944,1.504353270996944
rocm_hip,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4946985419956036,1.4946985419956036
oneapi_sycl,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4894589789910242,1.4894589789910242
opencl,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4886960204894422,1.4886960204894422
vulkan_compute,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.49978822900448,1.49978822900448
metal,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.489966249995632,1.489966249995632
webgpu,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4920520829909947,1.4920520829909947
