requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,own,128,3,12582912.0,1,1,1,1,0.0168852920178324,0.0168852920178324,0.7451995492119002,0.7451995492119002,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
own,own,own,128,3,12582912.0,1,1,1,1,0.015487125026993454,0.015487125026993454,0.8124756517474016,0.8124756517474016,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
blas,blas,blas,128,3,12582912.0,1,1,1,1,0.016183917003218085,0.016183917003218085,0.7774948424103977,0.7774948424103977,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
cuda,cuda,blas,128,3,12582912.0,1,1,1,1,0.015774667001096532,0.015774667001096532,0.797665776344143,0.797665776344143,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
rocm_hip,rocm_hip,blas,128,3,12582912.0,1,1,1,1,0.015455166023457423,0.015455166023457423,0.8141557315464618,0.8141557315464618,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
oneapi_sycl,oneapi_sycl,blas,128,3,12582912.0,1,1,1,1,0.016392958001233637,0.016392958001233637,0.7675803231517512,0.7675803231517512,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
opencl,opencl,blas,128,3,12582912.0,1,1,1,1,0.016930707992287353,0.016930707992287353,0.7432005800189835,0.7432005800189835,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
vulkan_compute,vulkan_compute,blas,128,3,12582912.0,1,1,1,1,0.01605195799493231,0.01605195799493231,0.7838864270621998,0.7838864270621998,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
metal,metal,blas,128,3,12582912.0,1,1,1,1,0.016159541002707556,0.016159541002707556,0.778667661283926,0.778667661283926,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
webgpu,webgpu,blas,128,3,12582912.0,1,1,1,1,0.015878083009738475,0.015878083009738475,0.7924704759562313,0.7924704759562313,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
