requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,blas,1280,3,12582912000.0,1,1,1,1,0.49475595899275504,0.49475595899275504,25.4325628045326,25.4325628045326,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
own,own,own,1280,3,12582912000.0,1,1,1,1,0.8666950000042561,0.8666950000042561,14.518269979563986,14.518269979563986,0.00090789794921875,0.0,3.0,0.0,64.0,64.0,64.0
blas,blas,blas,1280,3,12582912000.0,1,1,1,1,0.5001554579939693,0.5001554579939693,25.158001974961394,25.158001974961394,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
cuda,cuda,blas,1280,3,12582912000.0,1,1,1,1,0.5038975830248091,0.5038975830248091,24.971169586619126,24.971169586619126,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
rocm_hip,rocm_hip,blas,1280,3,12582912000.0,1,1,1,1,0.4902967090019956,0.4902967090019956,25.663872037021534,25.663872037021534,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
oneapi_sycl,oneapi_sycl,blas,1280,3,12582912000.0,1,1,1,1,0.49613441599649377,0.49613441599649377,25.36190111852455,25.36190111852455,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
opencl,opencl,blas,1280,3,12582912000.0,1,1,1,1,0.49146745799225755,0.49146745799225755,25.60273685546486,25.60273685546486,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
vulkan_compute,vulkan_compute,blas,1280,3,12582912000.0,1,1,1,1,0.49756504100514576,0.49756504100514576,25.288979255015363,25.288979255015363,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
metal,metal,blas,1280,3,12582912000.0,1,1,1,1,0.4900435000017751,0.4900435000017751,25.677132744244993,25.677132744244993,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
webgpu,webgpu,blas,1280,3,12582912000.0,1,1,1,1,0.5542520409799181,0.5542520409799181,22.702509092710603,22.702509092710603,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
