requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,blas,1280,3,12582912000.0,1,1,0,0,0.5039239999896381,0.5039239999896381,24.96986053503849,24.96986053503849,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
own,own,own,1280,3,12582912000.0,1,1,0,0,0.9369707500154618,0.9369707500154618,13.429354117823163,13.429354117823163,0.00090789794921875,0.0,3.0,0.0,64.0,64.0,64.0
blas,blas,blas,1280,3,12582912000.0,1,1,0,0,0.5148775409907103,0.5148775409907103,24.438649966724864,24.438649966724864,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
cuda,cuda,blas,1280,3,12582912000.0,1,1,0,0,0.5442118750070222,0.5442118750070222,23.12134772846998,23.12134772846998,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
rocm_hip,rocm_hip,blas,1280,3,12582912000.0,1,1,0,0,0.5034748339967337,0.5034748339967337,24.992136945779563,24.992136945779563,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
oneapi_sycl,oneapi_sycl,blas,1280,3,12582912000.0,1,1,0,0,0.5045384159893729,0.5045384159893729,24.9394527774968,24.9394527774968,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
opencl,opencl,blas,1280,3,12582912000.0,1,1,0,0,0.5000263339898083,0.5000263339898083,25.164498636698738,25.164498636698738,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
vulkan_compute,vulkan_compute,blas,1280,3,12582912000.0,1,1,0,0,0.5168366249999963,0.5168366249999963,24.34601456504769,24.34601456504769,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
metal,metal,blas,1280,3,12582912000.0,1,1,0,0,0.5087439169874415,0.5087439169874415,24.733292290766816,24.733292290766816,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
webgpu,webgpu,blas,1280,3,12582912000.0,1,1,0,0,0.5283871669962537,0.5283871669962537,23.813810754584836,23.813810754584836,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
