requested_backend,effective_backend,status_ok,parse_ok,program_ok,total_consistent,portable_route_ok,object_total,matmul_diff,matmul_ok,backend_id,median_time_sec,mean_time_sec
auto,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.321783666004194,1.321783666004194
own,own,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,0.0,1.3362621250053053,1.3362621250053053
blas,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.3001878340000985,1.3001878340000985
cuda,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.3143602919953992,1.3143602919953992
rocm_hip,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.310104540993052,1.310104540993052
oneapi_sycl,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.3800114999976358,1.3800114999976358
opencl,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.4419102079991717,1.4419102079991717
vulkan_compute,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.426006875000894,1.426006875000894
metal,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.3735730410044198,1.3735730410044198
webgpu,blas,1,1,1,1,1,8171.7600000001885,2.1827872842550278e-11,1,1.0,1.3391421670021373,1.3391421670021373
