primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i8,add,+,500000,interpret,1.1535120830012602,interpret,1.1578184159989178,0.996280649074024,1618419574,1618419574,True,True,0e+0,0e+0,0
i8,sub,-,500000,interpret,1.1598002909995557,interpret,1.1602922499987471,0.9995760042358364,132075832,132075832,True,True,0e+0,0e+0,0
i8,mul,*,500000,interpret,1.1667364580007415,interpret,1.1679068749999715,0.9989978507496756,1794607548,1794607548,True,True,0e+0,0e+0,0
i8,div,/,500000,interpret,1.2534530829998403,interpret,1.6990126670007157,0.7377538186413722,1042737238,1042737238,True,True,0e+0,0e+0,0
i8,mod,%,500000,interpret,1.5728392920009355,interpret,1.5580805419995158,1.0094723922182351,2038145874,2038145874,True,True,0e+0,0e+0,0
i8,pow,^,500000,interpret,1.4244347920011933,interpret,1.4002575000013167,1.0172663185163113,1289266494,1289266494,True,True,0e+0,0e+0,0
i16,add,+,500000,interpret,1.4712151250005263,interpret,1.3685329590007314,1.0750308316102017,2011370240,2011370240,True,True,0e+0,0e+0,0
i16,sub,-,500000,interpret,1.3562487920007698,interpret,1.3328157920004742,1.017581574393806,1330565230,1330565230,True,True,0e+0,0e+0,0
i16,mul,*,500000,interpret,1.333969082999829,interpret,1.3655372909997823,0.9768822073128149,171020600,171020600,True,True,0e+0,0e+0,0
i16,div,/,500000,interpret,1.5317089589989337,interpret,1.56411370800015,0.9792823572637513,117646321,117646321,True,True,0e+0,0e+0,0
i16,mod,%,500000,interpret,1.567012124998655,interpret,1.597428791999846,0.980958984116524,1916639255,1916639255,True,True,0e+0,0e+0,0
i16,pow,^,500000,interpret,1.484880374999193,interpret,1.413781374998507,1.0502899537778683,1289266494,1289266494,True,True,0e+0,0e+0,0
i32,add,+,500000,interpret,1.5367267079982412,interpret,1.4001487080004154,1.097545353016735,1391208280,1391208280,True,True,0e+0,0e+0,0
i32,sub,-,500000,interpret,1.688340500000777,interpret,1.5736102500013658,1.0729089366311078,1905897798,1905897798,True,True,0e+0,0e+0,0
i32,mul,*,500000,interpret,1.5624859999988985,interpret,1.4240842079998401,1.0971865225536395,635838753,635838753,True,True,0e+0,0e+0,0
i32,div,/,500000,interpret,1.5531272499993065,interpret,1.5500031249994208,1.0020155604524261,702274141,702274141,True,True,0e+0,0e+0,0
i32,mod,%,500000,interpret,1.5891412500004662,interpret,1.504832709000766,1.0560251917009982,297989125,297989125,True,True,0e+0,0e+0,0
i32,pow,^,500000,interpret,1.3047750420009834,interpret,1.3102899169989541,0.9957911032311064,1289266494,1289266494,True,True,0e+0,0e+0,0
i64,add,+,500000,interpret,1.4336260000000038,interpret,1.373230416998922,1.0439806621332137,1391208280,1391208280,True,True,0e+0,0e+0,0
i64,sub,-,500000,interpret,1.3447596659989358,interpret,1.3451317500002915,0.999723384715768,1905897798,1905897798,True,True,0e+0,0e+0,0
i64,mul,*,500000,interpret,1.492595290999816,interpret,1.5578337919996557,0.9581222969132678,635838753,635838753,True,True,0e+0,0e+0,0
i64,div,/,500000,interpret,1.6528353329995298,interpret,1.4689787090010213,1.1251594886106553,702274141,702274141,True,True,0e+0,0e+0,0
i64,mod,%,500000,interpret,1.4928763339994475,interpret,1.318999499999336,1.1318247914424524,297989125,297989125,True,True,0e+0,0e+0,0
i64,pow,^,500000,interpret,1.1734762079995562,interpret,1.1305818749988248,1.0379400501186842,1289266494,1289266494,True,True,0e+0,0e+0,0
i128,add,+,500000,interpret,1.2407676250004442,interpret,1.220297791998746,1.0167744571332626,1391208280,1391208280,True,True,0e+0,0e+0,0
i128,sub,-,500000,interpret,1.1729889170001115,interpret,1.2618385829991894,0.9295871380094463,1905897798,1905897798,True,True,0e+0,0e+0,0
i128,mul,*,500000,interpret,1.8208075839993398,interpret,2.1635128750003787,0.8415977575354254,635838753,635838753,True,True,0e+0,0e+0,0
i128,div,/,500000,interpret,2.071282124999925,interpret,1.8633042500005104,1.1116177752502618,702274141,702274141,True,True,0e+0,0e+0,0
i128,mod,%,500000,interpret,1.880871790999663,interpret,2.0173750829999335,0.9323361861903818,297989125,297989125,True,True,0e+0,0e+0,0
i128,pow,^,500000,interpret,1.8509732909988088,interpret,1.6701631670002826,1.108258957909647,1289266494,1289266494,True,True,0e+0,0e+0,0
i256,add,+,500000,interpret,2.4784601669998665,interpret,2.286469666998528,1.083968094032652,1391208280,1391208280,True,True,0e+0,0e+0,0
i256,sub,-,500000,interpret,2.248472125000262,interpret,2.1750154580004164,1.0337729402012514,1905897798,1905897798,True,True,0e+0,0e+0,0
i256,mul,*,500000,interpret,2.20236816599936,interpret,2.0626973340004042,1.0677127127168373,635838753,635838753,True,True,0e+0,0e+0,0
i256,div,/,500000,interpret,2.2016023750002205,interpret,2.4541330829997605,0.8970998314032489,702274141,702274141,True,True,0e+0,0e+0,0
i256,mod,%,500000,interpret,2.6831937919996562,interpret,2.561523791999207,1.047499070818893,297989125,297989125,True,True,0e+0,0e+0,0
i256,pow,^,500000,interpret,2.1227387910003017,interpret,2.130753375000495,0.9962386148982674,1289266494,1289266494,True,True,0e+0,0e+0,0
i512,add,+,500000,interpret,2.409761791999699,interpret,2.1195155829991563,1.1369398797199872,1391208280,1391208280,True,True,0e+0,0e+0,0
i512,sub,-,500000,interpret,2.4866480000000593,interpret,2.513876208000511,0.989168834999195,1905897798,1905897798,True,True,0e+0,0e+0,0
i512,mul,*,500000,interpret,2.8583882080001786,interpret,3.119694499999241,0.9162397818122492,635838753,635838753,True,True,0e+0,0e+0,0
i512,div,/,500000,interpret,3.0666299580007035,interpret,2.740227666999999,1.119115026437949,702274141,702274141,True,True,0e+0,0e+0,0
i512,mod,%,500000,interpret,2.9172518750001473,interpret,2.8388107089995174,1.027631700046769,297989125,297989125,True,True,0e+0,0e+0,0
i512,pow,^,500000,interpret,2.0693847080001433,interpret,2.245552416001374,0.921548164832006,1289266494,1289266494,True,True,0e+0,0e+0,0
