primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i8,add,+,500000,interpret,0.7399897499999497,interpret,0.7450964580002619,0.9931462457706243,1618419574,1618419574,True,True,0e+0,0e+0,0
i8,sub,-,500000,interpret,0.732387791000292,interpret,0.7315452500006359,1.0011517277976385,132075832,132075832,True,True,0e+0,0e+0,0
i8,mul,*,500000,interpret,0.7430375000003551,interpret,0.740090584000427,1.003981831499597,1794607548,1794607548,True,True,0e+0,0e+0,0
i8,div,/,500000,interpret,0.7984602079995966,interpret,0.7995455830005085,0.9986425101657885,1042737238,1042737238,True,True,0e+0,0e+0,0
i8,mod,%,500000,interpret,0.816347833000691,interpret,0.8108727500002715,1.0067520865640358,2038145874,2038145874,True,True,0e+0,0e+0,0
i8,pow,^,500000,interpret,0.7200050840001495,interpret,0.7203689580001083,0.9994948782899128,1289266494,1289266494,True,True,0e+0,0e+0,0
i16,add,+,500000,interpret,0.7347737500003859,interpret,0.7269676659998368,1.0107378695994864,2011370240,2011370240,True,True,0e+0,0e+0,0
i16,sub,-,500000,interpret,0.7405641249988548,interpret,0.7415146249986719,0.9987181641901954,1330565230,1330565230,True,True,0e+0,0e+0,0
i16,mul,*,500000,interpret,0.7424448330002633,interpret,0.739801333998912,1.003573255250923,171020600,171020600,True,True,0e+0,0e+0,0
i16,div,/,500000,interpret,0.8043535829983739,interpret,0.7948121659992466,1.0120046187102982,117646321,117646321,True,True,0e+0,0e+0,0
i16,mod,%,500000,interpret,0.8188027910000528,interpret,0.8099451660000341,1.0109360798382965,1916639255,1916639255,True,True,0e+0,0e+0,0
i16,pow,^,500000,interpret,0.7198365840013139,interpret,0.7168583330003457,1.0041545879623146,1289266494,1289266494,True,True,0e+0,0e+0,0
i32,add,+,500000,interpret,0.7467157080009201,interpret,0.7446737499994924,1.0027420840353634,1391208280,1391208280,True,True,0e+0,0e+0,0
i32,sub,-,500000,interpret,0.7491126669992809,interpret,0.7365415830008715,1.0170677179517704,1905897798,1905897798,True,True,0e+0,0e+0,0
i32,mul,*,500000,interpret,0.755704582999897,interpret,0.745248791999984,1.0140299335096583,635838753,635838753,True,True,0e+0,0e+0,0
i32,div,/,500000,interpret,0.8087506250012666,interpret,0.7961308750000171,1.0158513510749714,702274141,702274141,True,True,0e+0,0e+0,0
i32,mod,%,500000,interpret,0.8296950000003562,interpret,0.8165881249988161,1.0160507783548276,297989125,297989125,True,True,0e+0,0e+0,0
