primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i8,add,+,500000,interpret,0.8185308339998301,interpret,0.7544600000001083,1.084922771253231,1618419574,1618419574,True,True,0e+0,0e+0,0
i8,sub,-,500000,interpret,0.7549462500010122,interpret,0.7923989169994456,0.9527350855800581,132075832,132075832,True,True,0e+0,0e+0,0
i8,mul,*,500000,interpret,0.8729168330009998,interpret,0.7522557920001418,1.1603989524361618,1794607548,1794607548,True,True,0e+0,0e+0,0
i8,div,/,500000,interpret,0.8206383750002715,interpret,0.8264805830003752,0.9929312217125601,1042737238,1042737238,True,True,0e+0,0e+0,0
i8,mod,%,500000,interpret,0.8249159580009291,interpret,0.8166354999993928,1.0101397232933695,2038145874,2038145874,True,True,0e+0,0e+0,0
i8,pow,^,500000,interpret,0.7788278329990135,interpret,0.7348070409989305,1.0599079616061369,1289266494,1289266494,True,True,0e+0,0e+0,0
i16,add,+,500000,interpret,0.7933945419990778,interpret,0.8438855000003969,0.9401684730910824,2011370240,2011370240,True,True,0e+0,0e+0,0
i16,sub,-,500000,interpret,1.0999927499997284,interpret,0.9567990830000781,1.1496590763346692,1330565230,1330565230,True,True,0e+0,0e+0,0
i16,mul,*,500000,interpret,1.0368416250003065,interpret,1.1240633329998673,0.9224049878339274,171020600,171020600,True,True,0e+0,0e+0,0
i16,div,/,500000,interpret,1.2586609999998473,interpret,1.1363313340007153,1.107653166236684,117646321,117646321,True,True,0e+0,0e+0,0
i16,mod,%,500000,interpret,1.1011775830011175,interpret,1.229944875000001,0.8953064526579831,1916639255,1916639255,True,True,0e+0,0e+0,0
i16,pow,^,500000,interpret,1.0097542500006966,interpret,1.056758999999147,0.9555198962123926,1289266494,1289266494,True,True,0e+0,0e+0,0
i32,add,+,500000,interpret,1.0138348340005905,interpret,1.0156226250001055,0.9982397093610289,1391208280,1391208280,True,True,0e+0,0e+0,0
i32,sub,-,500000,interpret,0.9817547500006185,interpret,0.8827067499987606,1.1122094059006538,1905897798,1905897798,True,True,0e+0,0e+0,0
i32,mul,*,500000,interpret,0.9254220000002533,interpret,0.9786546249997627,0.9456063215360349,635838753,635838753,True,True,0e+0,0e+0,0
i32,div,/,500000,interpret,1.0122395420003159,interpret,0.9820254169990221,1.0307671517236543,702274141,702274141,True,True,0e+0,0e+0,0
i32,mod,%,500000,interpret,1.0015370420005638,interpret,1.0501347090012132,0.9537224447643762,297989125,297989125,True,True,0e+0,0e+0,0
i32,pow,^,500000,interpret,0.9280439579997619,interpret,0.8854100419994211,1.0481516065754861,1289266494,1289266494,True,True,0e+0,0e+0,0
i64,add,+,500000,interpret,0.9590274579986726,interpret,1.0128303750007035,0.9468786498410521,1391208280,1391208280,True,True,0e+0,0e+0,0
i64,sub,-,500000,interpret,1.256326208000246,interpret,1.1882047079998301,1.0573314510048428,1905897798,1905897798,True,True,0e+0,0e+0,0
i64,mul,*,500000,interpret,1.16648824999902,interpret,0.8866542920004576,1.3156066129981783,635838753,635838753,True,True,0e+0,0e+0,0
i64,div,/,500000,interpret,1.0717177080005058,interpret,1.1129784999993717,0.9629275929419219,702274141,702274141,True,True,0e+0,0e+0,0
i64,mod,%,500000,interpret,0.9603180840003915,interpret,0.9474394999997457,1.0135930410339122,297989125,297989125,True,True,0e+0,0e+0,0
i64,pow,^,500000,interpret,0.9259315830004198,interpret,0.8469759170002362,1.0932206741837756,1289266494,1289266494,True,True,0e+0,0e+0,0
i128,add,+,500000,interpret,0.8797015000000101,interpret,0.9201385830001527,0.9560532687714326,1391208280,1391208280,True,True,0e+0,0e+0,0
i128,sub,-,500000,interpret,0.8682767919999606,interpret,0.8040368750007474,1.079896729859751,1905897798,1905897798,True,True,0e+0,0e+0,0
i128,mul,*,500000,interpret,0.8170859590009059,interpret,1.2397931249997782,0.6590502419514965,635838753,635838753,True,True,0e+0,0e+0,0
i128,div,/,500000,interpret,0.90853750000133,interpret,0.8254834170002141,1.1006126607642008,702274141,702274141,True,True,0e+0,0e+0,0
i128,mod,%,500000,interpret,0.8895508329987933,interpret,0.9088637079985347,0.9787505268064104,297989125,297989125,True,True,0e+0,0e+0,0
i128,pow,^,500000,interpret,0.7220912920001865,interpret,0.7263620829999127,0.9941203001923123,1289266494,1289266494,True,True,0e+0,0e+0,0
i256,add,+,500000,interpret,1.0205503750003118,interpret,1.0174588749996474,1.0030384520461975,1391208280,1391208280,True,True,0e+0,0e+0,0
i256,sub,-,500000,interpret,1.0666648339993117,interpret,1.2750577499991778,0.8365619784672494,1905897798,1905897798,True,True,0e+0,0e+0,0
i256,mul,*,500000,interpret,1.16540625000016,interpret,0.9253231249986129,1.2594586890951278,635838753,635838753,True,True,0e+0,0e+0,0
i256,div,/,500000,interpret,0.8152332499994372,interpret,1.0984247910000704,0.742183949851679,702274141,702274141,True,True,0e+0,0e+0,0
i256,mod,%,500000,interpret,1.3360123340007704,interpret,1.4321782089991757,0.9328534155916202,297989125,297989125,True,True,0e+0,0e+0,0
i256,pow,^,500000,interpret,3.099044374999721,interpret,2.784453874999599,1.1129810419287938,1289266494,1289266494,True,True,0e+0,0e+0,0
i512,add,+,500000,interpret,2.2077988750006625,interpret,2.7139039159992535,0.8135140164635327,1391208280,1391208280,True,True,0e+0,0e+0,0
i512,sub,-,500000,interpret,2.6522437910007284,interpret,2.5148064580007485,1.0546512565858612,1905897798,1905897798,True,True,0e+0,0e+0,0
i512,mul,*,500000,interpret,2.866723458000706,interpret,1.7823669999997946,1.6083800126466863,635838753,635838753,True,True,0e+0,0e+0,0
i512,div,/,500000,interpret,2.180490083999757,interpret,2.176935792000222,1.0016327041029855,702274141,702274141,True,True,0e+0,0e+0,0
i512,mod,%,500000,interpret,2.5103659579999658,interpret,2.477183500001047,1.0133952361619172,297989125,297989125,True,True,0e+0,0e+0,0
i512,pow,^,500000,interpret,1.9054097499993077,interpret,1.9160372919996007,0.994453374135948,1289266494,1289266494,True,True,0e+0,0e+0,0
