primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i8,add,+,500000,interpret,1.7695708330011257,interpret,1.7420150409998314,1.0158183433281258,1618419574,1618419574,True,True,0e+0,0e+0,0
i8,sub,-,500000,interpret,1.8022135840001283,interpret,1.8419015420004143,0.9784527255690428,132075832,132075832,True,True,0e+0,0e+0,0
i8,mul,*,500000,interpret,1.8481713330002094,interpret,1.802420500000153,1.0253829963651948,1794607548,1794607548,True,True,0e+0,0e+0,0
i8,div,/,500000,interpret,1.9314521660016908,interpret,1.941583708001417,0.9947818155055723,1042737238,1042737238,True,True,0e+0,0e+0,0
i8,mod,%,500000,interpret,1.9358528339998884,interpret,2.006554834000781,0.964764481486946,2038145874,2038145874,True,True,0e+0,0e+0,0
i8,pow,^,500000,interpret,1.6265380419990834,interpret,1.3981541659995855,1.1633467049295088,1289266494,1289266494,True,True,0e+0,0e+0,0
i16,add,+,500000,interpret,1.3228141669987963,interpret,1.501656374999584,0.8809033737822761,2011370240,2011370240,True,True,0e+0,0e+0,0
i16,sub,-,500000,interpret,1.436457125000743,interpret,1.2469273329988937,1.1519974636741863,1330565230,1330565230,True,True,0e+0,0e+0,0
i16,mul,*,500000,interpret,1.1654075000005832,interpret,1.1722820830000273,0.9941357262905093,171020600,171020600,True,True,0e+0,0e+0,0
i16,div,/,500000,interpret,1.254756249998536,interpret,1.2426376250004978,1.0097523403076045,117646321,117646321,True,True,0e+0,0e+0,0
i16,mod,%,500000,interpret,1.2608278330008034,interpret,1.2537887089983997,1.0056142824958338,1916639255,1916639255,True,True,0e+0,0e+0,0
i16,pow,^,500000,interpret,1.112205207999068,interpret,1.1325206250003248,0.9820617686311445,1289266494,1289266494,True,True,0e+0,0e+0,0
i32,add,+,500000,interpret,1.1746543330009445,interpret,1.1991345419992285,0.9795851023043085,1391208280,1391208280,True,True,0e+0,0e+0,0
i32,sub,-,500000,interpret,1.194103541000004,interpret,1.9003100419995462,0.6283730099871193,1905897798,1905897798,True,True,0e+0,0e+0,0
i32,mul,*,500000,interpret,1.8886910840010387,interpret,1.9083623330006958,0.989692078564176,635838753,635838753,True,True,0e+0,0e+0,0
i32,div,/,500000,interpret,1.913746958000047,interpret,1.995495082999696,0.9590336625251101,702274141,702274141,True,True,0e+0,0e+0,0
i32,mod,%,500000,interpret,2.1666559579989553,interpret,2.2222792920001666,0.9749701425012391,297989125,297989125,True,True,0e+0,0e+0,0
