primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i8,add,+,500000,interpret,0.8434571249999863,interpret,0.8327390829999786,1.0128708285930277,1618419574,1618419574,True,True,0e+0,0e+0,0
i8,sub,-,500000,interpret,0.9366555839987996,interpret,0.8707695419998345,1.0756641554637398,132075832,132075832,True,True,0e+0,0e+0,0
i8,mul,*,500000,interpret,0.7484150830005092,interpret,0.7349906670006021,1.0182647434894518,1794607548,1794607548,True,True,0e+0,0e+0,0
i8,div,/,500000,interpret,0.8012675420013693,interpret,0.8047451660004299,0.9956786021886352,1042737238,1042737238,True,True,0e+0,0e+0,0
i8,mod,%,500000,interpret,0.8344130830009817,interpret,0.8477287080004317,0.9842925869163285,2038145874,2038145874,True,True,0e+0,0e+0,0
i8,pow,^,500000,interpret,0.7174966250004218,interpret,0.7340570840005967,0.9774398212875752,1289266494,1289266494,True,True,0e+0,0e+0,0
i16,add,+,500000,interpret,0.7424670000000333,interpret,0.7411920829999872,1.001720089878572,2011370240,2011370240,True,True,0e+0,0e+0,0
i16,sub,-,500000,interpret,0.761164583000209,interpret,0.7309298330001184,1.041364777623033,1330565230,1330565230,True,True,0e+0,0e+0,0
i16,mul,*,500000,interpret,0.7424085000002378,interpret,0.7444764579995535,0.9972222654227746,171020600,171020600,True,True,0e+0,0e+0,0
i16,div,/,500000,interpret,0.8035172079999029,interpret,0.8741873750004743,0.9191590166804536,117646321,117646321,True,True,0e+0,0e+0,0
i16,mod,%,500000,interpret,0.8397657919995254,interpret,0.8180147500006569,1.0265900364252,1916639255,1916639255,True,True,0e+0,0e+0,0
i16,pow,^,500000,interpret,0.737997042000643,interpret,0.7413213749987335,0.9955156655261745,1289266494,1289266494,True,True,0e+0,0e+0,0
i32,add,+,500000,interpret,0.7614668339992932,interpret,0.7761291669994534,0.9811083855322105,1391208280,1391208280,True,True,0e+0,0e+0,0
i32,sub,-,500000,interpret,0.7610537920008937,interpret,0.7601689999992232,1.0011639411784372,1905897798,1905897798,True,True,0e+0,0e+0,0
i32,mul,*,500000,interpret,0.757594374999826,interpret,0.7541835409992927,1.0045225516271727,635838753,635838753,True,True,0e+0,0e+0,0
i32,div,/,500000,interpret,0.8249735419994977,interpret,0.8658025840013579,0.9528425500728279,702274141,702274141,True,True,0e+0,0e+0,0
i32,mod,%,500000,interpret,0.9610635419994651,interpret,0.8181775409993861,1.174639358623248,297989125,297989125,True,True,0e+0,0e+0,0
i32,pow,^,500000,interpret,0.7851547079990269,interpret,0.7695012919994042,1.020342286832229,1289266494,1289266494,True,True,0e+0,0e+0,0
i64,add,+,500000,interpret,0.9161355839987664,interpret,0.9087718339997082,1.008102969000094,1391208280,1391208280,True,True,0e+0,0e+0,0
i64,sub,-,500000,interpret,0.7803783750005095,interpret,0.8159558749994176,0.9563977647701435,1905897798,1905897798,True,True,0e+0,0e+0,0
i64,mul,*,500000,interpret,0.8807381249989703,interpret,0.7563665419984318,1.1644329516109087,635838753,635838753,True,True,0e+0,0e+0,0
i64,div,/,500000,interpret,0.8249562500004686,interpret,0.8624735830017016,0.956500310571067,702274141,702274141,True,True,0e+0,0e+0,0
i64,mod,%,500000,interpret,0.8496350419991359,interpret,0.8786043749987584,0.9670280118970913,297989125,297989125,True,True,0e+0,0e+0,0
i64,pow,^,500000,interpret,0.7843572919991857,interpret,0.7241114170010405,1.0831997308475783,1289266494,1289266494,True,True,0e+0,0e+0,0
i128,add,+,500000,interpret,0.7463672499998211,interpret,0.7390937079999276,1.0098411634697535,1391208280,1391208280,True,True,0e+0,0e+0,0
i128,sub,-,500000,interpret,0.7385301670001354,interpret,0.7290700829998968,1.012975548196016,1905897798,1905897798,True,True,0e+0,0e+0,0
i128,mul,*,500000,interpret,0.7612665410015325,interpret,0.8278519579998829,0.9195684489782171,635838753,635838753,True,True,0e+0,0e+0,0
i128,div,/,500000,interpret,0.8717740829997638,interpret,0.8728769999997894,0.9987364577139438,702274141,702274141,True,True,0e+0,0e+0,0
i128,mod,%,500000,interpret,0.8918377910013078,interpret,0.8804398749998654,1.012945706260117,297989125,297989125,True,True,0e+0,0e+0,0
i128,pow,^,500000,interpret,0.7696743330016034,interpret,0.7517889160008053,1.0237904771141624,1289266494,1289266494,True,True,0e+0,0e+0,0
i256,add,+,500000,interpret,0.7929523750008229,interpret,0.7797932080011378,1.0168752008412798,1391208280,1391208280,True,True,0e+0,0e+0,0
i256,sub,-,500000,interpret,0.7797855419994448,interpret,0.8016917919994739,0.9726749728279076,1905897798,1905897798,True,True,0e+0,0e+0,0
i256,mul,*,500000,interpret,0.9380916250011069,interpret,0.813428166000449,1.1532568752980568,635838753,635838753,True,True,0e+0,0e+0,0
i256,div,/,500000,interpret,0.8427042499988602,interpret,0.8302547090006556,1.0149948453929152,702274141,702274141,True,True,0e+0,0e+0,0
i256,mod,%,500000,interpret,0.872759916999712,interpret,0.8631067499991332,1.011184209833359,297989125,297989125,True,True,0e+0,0e+0,0
i256,pow,^,500000,interpret,0.7756343330001982,interpret,0.8000714170011634,0.9694563716667188,1289266494,1289266494,True,True,0e+0,0e+0,0
i512,add,+,500000,interpret,0.7952215000004799,interpret,0.8029657500010217,0.9903554416853622,1391208280,1391208280,True,True,0e+0,0e+0,0
i512,sub,-,500000,interpret,0.8100507079998351,interpret,0.7653446670010453,1.058412951610374,1905897798,1905897798,True,True,0e+0,0e+0,0
i512,mul,*,500000,interpret,0.7789553749989864,interpret,0.7904930000004242,0.9854045197093059,635838753,635838753,True,True,0e+0,0e+0,0
i512,div,/,500000,interpret,0.8413516250002431,interpret,0.8381469169999036,1.0038235635487518,702274141,702274141,True,True,0e+0,0e+0,0
i512,mod,%,500000,interpret,0.8509713749990624,interpret,0.9126787080003851,0.9323887667583272,297989125,297989125,True,True,0e+0,0e+0,0
i512,pow,^,500000,interpret,0.7511267089994362,interpret,0.7774201669999456,0.966178574834281,1289266494,1289266494,True,True,0e+0,0e+0,0
