primitive,op_name,operator,loops,baseline_mode,baseline_median_sec,optimized_mode,optimized_median_sec,speedup_vs_baseline,baseline_checksum,optimized_checksum,checksums_equal,checksums_match_tolerant,checksum_abs_diff,checksum_rel_diff,checksum_tolerance
i64,add,+,500000,interpret,1.158709084000293,interpret,1.1814494579994061,0.9807521398015449,1391208280,1391208280,True,True,0e+0,0e+0,0
i64,sub,-,500000,interpret,1.1411238750006305,interpret,0.9856083329996181,1.1577863506162875,1905897798,1905897798,True,True,0e+0,0e+0,0
i64,mul,*,500000,interpret,0.9657194579995121,interpret,0.983632708001096,0.9817886800063953,635838753,635838753,True,True,0e+0,0e+0,0
i64,div,/,500000,interpret,1.1767140410011052,interpret,1.1259727500000736,1.0450644040906214,702274141,702274141,True,True,0e+0,0e+0,0
i64,mod,%,500000,interpret,1.1555718339986925,interpret,1.0693552079992514,1.0806248712817803,297989125,297989125,True,True,0e+0,0e+0,0
i64,pow,^,500000,interpret,0.912100333998751,interpret,0.9158884580010636,0.9958639898022297,1289266494,1289266494,True,True,0e+0,0e+0,0
i256,add,+,500000,interpret,0.986948667001343,interpret,0.9946758340011002,0.9922314720679656,1391208280,1391208280,True,True,0e+0,0e+0,0
i256,sub,-,500000,interpret,0.9785769580012129,interpret,0.9756938329992408,1.0029549484730362,1905897798,1905897798,True,True,0e+0,0e+0,0
i256,mul,*,500000,interpret,1.0393548329993791,interpret,1.0296054999998887,1.009468998562548,635838753,635838753,True,True,0e+0,0e+0,0
i256,div,/,500000,interpret,1.092780082999525,interpret,1.0922722079994855,1.0004649710908322,702274141,702274141,True,True,0e+0,0e+0,0
i256,mod,%,500000,interpret,1.1422445419993892,interpret,1.24653670799853,0.916334460646093,297989125,297989125,True,True,0e+0,0e+0,0
i256,pow,^,500000,interpret,1.208134667000195,interpret,1.0744305420012097,1.1244418506104181,1289266494,1289266494,True,True,0e+0,0e+0,0
i512,add,+,500000,interpret,0.9805159590014227,interpret,0.858393917000285,1.1422680654913089,1391208280,1391208280,True,True,0e+0,0e+0,0
i512,sub,-,500000,interpret,0.8625175829984073,interpret,0.8598946250003792,1.0030503249139706,1905897798,1905897798,True,True,0e+0,0e+0,0
i512,mul,*,500000,interpret,0.8769825830004265,interpret,0.8649219999988418,1.0139441279116508,635838753,635838753,True,True,0e+0,0e+0,0
i512,div,/,500000,interpret,0.8395515829997748,interpret,0.833702917001574,1.0070152879148315,702274141,702274141,True,True,0e+0,0e+0,0
i512,mod,%,500000,interpret,0.8654577910001535,interpret,0.8596800830000575,1.0067207652176067,297989125,297989125,True,True,0e+0,0e+0,0
i512,pow,^,500000,interpret,0.7573579159998189,interpret,0.7889197919994331,0.9599935553402407,1289266494,1289266494,True,True,0e+0,0e+0,0
