requested_backend,effective_backend,status_ok,parse_ok,program_pass,median_time_sec,mean_time_sec,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,own,1,1,1,0.03914937499212101,0.05096711100001509,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
own,own,1,1,1,0.035373790975427255,0.033963513657605894,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
blas,blas,1,1,1,0.03774204201181419,0.035901888991550855,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
cuda,blas,1,1,1,0.03734945898759179,0.03724655533248248,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
rocm_hip,blas,1,1,1,0.03720941601204686,0.03815108333947137,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
oneapi_sycl,blas,1,1,1,0.034404334001010284,0.03576826400239952,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
opencl,blas,1,1,1,0.038675749994581565,0.03915308333428887,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
vulkan_compute,blas,1,1,1,0.034596084005897865,0.035054958338150755,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
metal,blas,1,1,1,0.03738112500286661,0.03853747234097682,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
webgpu,blas,1,1,1,0.03412566598854028,0.03574091633587765,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
